"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה     CFU/100 ml,שם נקודה,אתר,,
NS00000705,2022-05-10 14:35:55,קוליפורם צואתי,160,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-05-23 13:28:03,E.coli MUG,140,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-05-23 13:28:03,קוליפורם צואתי,140,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-06-07 13:27:27,E.coli MUG,40,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-06-07 13:27:27,קוליפורם צואתי,140,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-06-20 09:26:28,E.coli MUG,200,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-06-20 09:26:28,קוליפורם צואתי,270,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-07-04 12:51:00,E.coli MUG,10,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-07-04 12:51:00,קוליפורם צואתי,110,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-07-18 13:40:43,E.coli MUG,80,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-07-18 13:40:43,קוליפורם צואתי,150,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-08-01 13:00:13,E.coli MUG,160,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-08-01 13:00:13,קוליפורם צואתי,190,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-08-15 17:37:25,E.coli MUG,160,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-08-15 17:37:25,קוליפורם צואתי,160,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-08-29 12:58:10,E.coli MUG,220,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-08-29 12:58:10,קוליפורם צואתי,410,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-09-05 14:26:19,E.coli MUG,1150,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-09-05 14:26:19,קוליפורם צואתי,1150,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-09-19 12:22:11,E.coli MUG,190,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-09-19 12:22:11,קוליפורם צואתי,310,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-10-02 13:26:47,E.coli MUG,310,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-10-02 13:26:47,קוליפורם צואתי,460,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-10-18 13:03:20,E.coli MUG,140,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-10-18 13:03:20,קוליפורם צואתי,150,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-10-30 14:27:18,E.coli MUG,250,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-10-30 14:27:18,קוליפורם צואתי,460,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-11-21 15:48:05,E.coli MUG,220,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2022-11-21 15:48:05,קוליפורם צואתי,230,בניאס גשר כפר סאלד,בניאס,,
