"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,
קוד נקודה,תאריך דיגום,אנליט,תוצאה CFU/100 ml,שם נקודה,אתר,,
NS00001908,2019-10-16 16:17:25,E.coli MUG,1080,ירדן גשר להבות הבשן,ירדן,,
NS00001908,2019-10-16 16:17:25,קוליפורם צואתי,1080,ירדן גשר להבות הבשן,ירדן,,
NS00000705,2019-03-26 17:43:42,E.coli MUG,20,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-03-26 17:43:42,קוליפורם צואתי,20,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-04-10 14:21:49,E.coli MUG,120,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-04-10 14:21:49,קוליפורם צואתי,120,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-04-16 16:29:05,E.coli MUG,210,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-04-16 16:29:05,קוליפורם צואתי,260,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-05-06 16:33:52,E.coli MUG,30,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-05-06 16:33:52,קוליפורם צואתי,30,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-05-20 15:42:40,E.coli MUG,30,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-05-20 15:42:40,קוליפורם צואתי,50,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-06-02 15:55:39,E.coli MUG,130,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-06-02 15:55:39,קוליפורם צואתי,130,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-06-16 00:00:00,E.coli MUG,150,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-06-16 00:00:00,קוליפורם צואתי,150,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-07-02 15:07:23,E.coli MUG,290,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-07-02 15:07:23,קוליפורם צואתי,330,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-07-15 16:41:00,E.coli MUG,240,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-07-15 16:41:00,קוליפורם צואתי,300,בניאס גשר כפר סאלד,בניאס,,
NS00000705,2019-08-05 15:52:40,E.coli MUG,380,בניאס גשר כפר סאלד,בניאס,,
