,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00000712,2026-06-22 13:30:36,E.coli MUG,470, זאכי,יהודיה
NS00000712,2026-06-22 13:30:36,קוליפורם צואתי,470, זאכי,יהודיה
NS00000713,2026-04-26 13:51:20,E.coli MUG,210,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-04-26 13:51:20,קוליפורם צואתי,240,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-05-12 13:25:09,E.coli MUG,330,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-05-12 13:25:09,קוליפורם צואתי,400,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-05-25 14:06:21,E.coli MUG,230,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-05-25 14:06:21,קוליפורם צואתי,550,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-06-14 14:53:13,E.coli MUG,200,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-06-14 14:53:13,קוליפורם צואתי,300,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-06-22 13:30:36,E.coli MUG,430,יהודיה מפל יהודיה,יהודיה
NS00000713,2026-06-22 13:30:36,קוליפורם צואתי,430,יהודיה מפל יהודיה,יהודיה
NS00000714,2026-04-14 13:20:42,E.coli MUG,160,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-04-14 13:20:42,קוליפורם צואתי,240,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-04-26 13:51:20,E.coli MUG,280,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-04-26 13:51:20,קוליפורם צואתי,350,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-05-12 13:25:09,E.coli MUG,230,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-05-12 13:25:09,קוליפורם צואתי,250,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-05-25 14:06:21,E.coli MUG,140,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-05-25 14:06:21,קוליפורם צואתי,200,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-06-14 14:53:13,E.coli MUG,180,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-06-14 14:53:13,קוליפורם צואתי,400,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-06-22 13:30:36,E.coli MUG,440,ירדן גשר אריק,ירדן טבריה
NS00000714,2026-06-22 13:30:36,קוליפורם צואתי,440,ירדן גשר אריק,ירדן טבריה
NS00000719,2026-04-14 13:20:42,E.coli MUG,380,מג'רסה,מג'רסה
NS00000719,2026-04-14 13:20:42,קוליפורם צואתי,380,מג'רסה,מג'רסה
NS00000719,2026-04-26 13:51:20,E.coli MUG,2200,מג'רסה,מג'רסה
NS00000719,2026-04-26 13:51:20,קוליפורם צואתי,2200,מג'רסה,מג'רסה
NS00000719,2026-05-12 13:25:09,E.coli MUG,320,מג'רסה,מג'רסה
NS00000719,2026-05-12 13:25:09,קוליפורם צואתי,320,מג'רסה,מג'רסה
NS00000719,2026-05-25 14:06:21,E.coli MUG,120,מג'רסה,מג'רסה
NS00000719,2026-05-25 14:06:21,קוליפורם צואתי,150,מג'רסה,מג'רסה
NS00000719,2026-06-14 14:53:13,E.coli MUG,10,מג'רסה,מג'רסה
NS00000719,2026-06-14 14:53:13,קוליפורם צואתי,20,מג'רסה,מג'רסה
NS00000719,2026-06-22 13:30:36,E.coli MUG,10,מג'רסה,מג'רסה
NS00000719,2026-06-22 13:30:36,קוליפורם צואתי,40,מג'רסה,מג'רסה
NS00000720,2026-04-14 13:20:42,E.coli MUG,800,משושים בריכת המשושים,משושים
NS00000720,2026-04-14 13:20:42,קוליפורם צואתי,800,משושים בריכת המשושים,משושים
NS00000720,2026-04-26 13:51:20,E.coli MUG,1850,משושים בריכת המשושים,משושים
NS00000720,2026-04-26 13:51:20,קוליפורם צואתי,1850,משושים בריכת המשושים,משושים
NS00000720,2026-05-12 13:25:09,E.coli MUG,850,משושים בריכת המשושים,משושים
NS00000720,2026-05-12 13:25:09,קוליפורם צואתי,1000,משושים בריכת המשושים,משושים
NS00000720,2026-05-25 14:06:21,E.coli MUG,2000,משושים בריכת המשושים,משושים
NS00000720,2026-05-25 14:06:21,קוליפורם צואתי,2000,משושים בריכת המשושים,משושים
NS00000720,2026-06-14 14:53:13,E.coli MUG,3000,משושים בריכת המשושים,משושים
NS00000720,2026-06-14 14:53:13,קוליפורם צואתי,3000,משושים בריכת המשושים,משושים
NS00000720,2026-06-22 13:30:36,E.coli MUG,1800,משושים בריכת המשושים,משושים
NS00000720,2026-06-22 13:30:36,קוליפורם צואתי,1800,משושים בריכת המשושים,משושים
NS00000723,2026-05-12 13:35:19,E.coli MUG,330,בצת בריכה 1,בצת עכו
NS00000723,2026-05-12 13:35:19,קוליפורם צואתי,480,בצת בריכה 1,בצת עכו
NS00000724,2026-04-26 13:51:20,E.coli MUG,10,בצת בריכה 2,בצת עכו
NS00000724,2026-04-26 13:51:20,קוליפורם צואתי,20,בצת בריכה 2,בצת עכו
NS00000724,2026-05-12 13:35:19,E.coli MUG,180,בצת בריכה 2,בצת עכו
NS00000724,2026-05-12 13:35:19,קוליפורם צואתי,180,בצת בריכה 2,בצת עכו
NS00000724,2026-05-25 14:06:21,E.coli MUG,<10,בצת בריכה 2,בצת עכו
NS00000724,2026-05-25 14:06:21,קוליפורם צואתי,<10,בצת בריכה 2,בצת עכו
NS00000725,2026-04-26 13:51:20,E.coli MUG,50,סוף מסלול נחל בצת,בצת עכו
NS00000725,2026-04-26 13:51:20,קוליפורם צואתי,50,סוף מסלול נחל בצת,בצת עכו
NS00000725,2026-05-25 14:06:21,E.coli MUG,30,סוף מסלול נחל בצת,בצת עכו
NS00000725,2026-05-25 14:06:21,קוליפורם צואתי,30,סוף מסלול נחל בצת,בצת עכו
NS00000726,2026-04-26 13:51:20,E.coli MUG,10,געתון חניון אשחר,געתון
NS00000726,2026-04-26 13:51:20,קוליפורם צואתי,10,געתון חניון אשחר,געתון
NS00000727,2026-04-26 13:51:20,E.coli MUG,200,געתון חניון חורבה,געתון
NS00000727,2026-04-26 13:51:20,קוליפורם צואתי,280,געתון חניון חורבה,געתון
NS00000732,2026-04-26 13:51:20,E.coli MUG,500,צלמון תחנת קמח,צלמון
NS00000732,2026-04-26 13:51:20,קוליפורם צואתי,560,צלמון תחנת קמח,צלמון
NS00000732,2026-05-12 13:35:19,E.coli MUG,120,צלמון תחנת קמח,צלמון
NS00000732,2026-05-12 13:35:19,קוליפורם צואתי,140,צלמון תחנת קמח,צלמון
NS00000732,2026-05-25 14:06:21,E.coli MUG,210,צלמון תחנת קמח,צלמון
NS00000732,2026-05-25 14:06:21,קוליפורם צואתי,360,צלמון תחנת קמח,צלמון
