,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,,,,,,,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר,,,,,,
NS00001867,2024-07-22 14:26:47,קוליפורם צואתי,800,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-08-05 12:03:23,E.coli MUG,280,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-08-05 12:03:23,קוליפורם צואתי,720,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-08-19 15:41:44,E.coli MUG,2500,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-08-19 15:41:44,קוליפורם צואתי,2500,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-09-09 15:45:32,E.coli MUG,1000,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-09-09 15:45:32,קוליפורם צואתי,1100,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-09-16 14:33:47,E.coli MUG,500,ירדן גשר החמישה,ירדן,,,,,,
NS00001867,2024-09-16 14:33:47,קוליפורם צואתי,860,ירדן גשר החמישה,ירדן,,,,,,
NS00001868,2024-01-01 15:14:41,E.coli MUG,400,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-01-01 15:14:41,קוליפורם צואתי,450,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-01-15 15:14:44,E.coli MUG,5500,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-01-15 15:14:44,קוליפורם צואתי,5500,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-01-29 14:36:53,E.coli MUG,3500,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-01-29 14:36:53,קוליפורם צואתי,3500,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-02-12 15:02:03,E.coli MUG,870,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-02-12 15:02:03,קוליפורם צואתי,870,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-02-25 14:24:37,E.coli MUG,800,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-02-25 14:24:37,קוליפורם צואתי,850,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-03-10 14:08:12,E.coli MUG,500,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-03-10 14:08:12,קוליפורם צואתי,660,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-03-25 13:07:10,E.coli MUG,6000,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-03-25 13:07:10,קוליפורם צואתי,6400,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-04-08 15:21:00,E.coli MUG,200,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-04-08 15:21:00,קוליפורם צואתי,240,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-04-15 14:43:30,E.coli MUG,140,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-04-15 14:43:30,קוליפורם צואתי,190,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-05-01 15:43:21,E.coli MUG,600,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-05-01 15:43:21,קוליפורם צואתי,600,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-05-12 14:06:20,E.coli MUG,180,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-05-12 14:06:20,קוליפורם צואתי,250,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-05-27 13:54:35,E.coli MUG,200,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-05-27 13:54:35,קוליפורם צואתי,200,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-06-09 15:02:25,E.coli MUG,320,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-06-09 15:02:25,קוליפורם צואתי,500,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-06-24 16:13:59,E.coli MUG,310,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-06-24 16:13:59,קוליפורם צואתי,370,ירדן גשר יוסף,ירדן,,,,,,
NS00001868,2024-07-08 14:16:27,E.coli MUG,300,ירדן גשר יוסף,ירדן,,,,,,
