,,,"תוצאות בקטריאליות מדיגום במסגרת פיקוח מדגמי בנחלים, סקרים, שונות ",,
קוד נקודה,תאריך דיגום,מדד בקטריאלי,תוצאה        CFU/100 ml,שם נקודה,אתר
NS00002072,2025-07-28 13:03:04,סטרפטוקוק/אנטרוקוק ממוצא צואתי,800,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-07-28 13:03:04,קוליפורם צואתי,1200,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-08-18 13:20:40,E.coli MUG,1500,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-08-18 13:20:40,סטרפטוקוק/אנטרוקוק ממוצא צואתי,50,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-08-18 13:20:40,קוליפורם צואתי,1500,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-09-15 13:33:37,E.coli MUG,750,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-09-15 13:33:37,סטרפטוקוק/אנטרוקוק ממוצא צואתי,140,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-09-15 13:33:37,קוליפורם צואתי,750,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-10-20 11:28:46,E.coli MUG,850,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-10-20 11:28:46,סטרפטוקוק/אנטרוקוק ממוצא צואתי,60,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-10-20 11:28:46,קוליפורם צואתי,850,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-11-17 17:56:18,E.coli MUG,300,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-11-17 17:56:18,סטרפטוקוק/אנטרוקוק ממוצא צואתי,100,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-11-17 17:56:18,קוליפורם צואתי,550,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-12-22 13:50:47,E.coli MUG,140,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-12-22 13:50:47,סטרפטוקוק/אנטרוקוק ממוצא צואתי,120,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00002072,2025-12-22 13:50:47,קוליפורם צואתי,670,חצבאני אחרי תחנה הידרואלקטרית (כולירה),חצבני
NS00000709,2025-04-02 13:31:35,E.coli MUG,320,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-04-02 13:31:35,קוליפורם צואתי,420,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-04-22 19:00:25,E.coli MUG,280,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-04-22 19:00:25,קוליפורם צואתי,280,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-05-07 13:51:05,E.coli MUG,120,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-05-07 13:51:05,קוליפורם צואתי,180,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-05-20 09:00:42,E.coli MUG,150,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-05-20 09:00:42,קוליפורם צואתי,250,ירדן גשר הפקק (חורי),ירדן
NS00000709,2025-06-03 16:12:20,E.coli MUG,60,ירדן גשר הפקק (חורי),ירדן
